Internal ID,Parent Org. ID,Authorized Name,Organization Name,Provider,Vendor,Publisher,Licensor
2,2,Y,American Chemical Society,Y,Y,Y,N
3,3,Y,American Mathematical Society,Y,Y,Y,N
4,4,Y,American Medical Association,Y,N,Y,N
5,5,Y,ACM Digital Library,Y,N,N,N
10,10,Y,EBSCOhost,Y,N,Y,N
11,11,Y,EDP Sciences,N,N,Y,N
12,12,Y,JSTOR,Y,Y,Y,N
14,14,Y,American Physical Society,Y,N,Y,N
15,15,Y,Royal Society of Chemistry,Y,Y,Y,N
16,16,Y,National Research Council Canada,N,N,Y,N
18,18,Y,Highwire Press,Y,N,N,N
20,20,Y,Portland Press,Y,Y,Y,N
25,25,Y,University of Chicago Press,N,Y,Y,N
27,27,Y,Institute of Physics,N,N,Y,N
28,28,Y,Project Muse,Y,N,Y,N
30,30,Y,Ingenta,N,N,N,N
35,35,Y,Proquest,Y,N,Y,N
37,37,Y,Optical Society of America,Y,N,Y,N
38,38,Y,Allen Press,N,N,Y,N
41,41,Y,BioOne,Y,N,Y,N
43,43,Y,CSIRO,N,N,Y,N
46,46,Y,Emerald,Y,N,Y,N
48,48,Y,Project Euclid,Y,N,N,N
50,50,Y,Canadian Mathematical Society,Y,N,Y,N
51,51,Y,Metapress,Y,N,N,N
52,52,Y,American Geophysical Union,Y,Y,Y,N
54,54,Y,J-STAGE,N,N,N,N
55,55,Y,Haworth Press,N,N,Y,N
63,63,Y,American Nuclear Society,Y,Y,Y,N
81,81,Y,Indian Academy of Sciences,Y,N,Y,N
82,82,Y,Sagamore Publishing,Y,N,N,N
91,91,Y,Materials Research Society,N,Y,Y,N
97,97,Y,American Society of Pharmacognosy,N,N,N,N
103,103,Y,Cornell University,Y,N,Y,N
109,109,Y,CRC Press,N,N,Y,N
114,114,Y,Association for Computing Machinery,N,N,Y,N
119,119,Y,Springer,N,N,Y,N
120,120,Y,John Wiley & Sons,N,N,Y,N
130,130,Y,IEEE,Y,Y,Y,N
140,140,Y,Association for Computational Linguistics,N,N,Y,N
159,159,Y,Cambridge University Press,Y,Y,Y,N
168,168,Y,Yale University Press,N,N,Y,N
174,174,Y,American Political Science Association,N,N,Y,N
200,200,Y,Nature Publishing Group,N,N,Y,N
218,218,Y,American Library Association,Y,Y,Y,N
222,222,Y,Antioch Review,N,N,Y,N
235,235,Y,Heldref Publications,N,N,Y,N
236,236,Y,University of Chicago,N,N,Y,N
253,253,Y,Administrative Office of the United States Courts,N,N,Y,N
277,277,Y,Pro-Ed,N,N,Y,N
278,278,Y,American Jewish Congress,N,N,Y,N
288,288,Y,American Museum of Natural History,Y,N,Y,N
290,290,Y,"Newsweek, Inc",N,N,Y,N
295,295,Y,Academy of Political Science,N,N,Y,N
301,301,Y,American Rehabilitation Counseling Association,N,N,N,N
321,321,Y,Duke University Press,N,Y,Y,N
331,331,Y,American Bar Association,N,N,Y,N
361,361,Y,Honor Society of Phi Kappa Phi,N,N,Y,N
364,364,Y,Blackwell,N,N,Y,N
369,369,Y,LaGuardia Community College,N,N,Y,N
375,375,Y,American Planning Association,N,Y,Y,N
401,401,Y,Reed Business Information,N,N,Y,N
