publication_title	online_identifier.issn	category	subjects	publisher	title_url	online_identifier	tipp.price.list	tipp.agreement_types	tipp.price.annual_update	tipp.custprops.pricing_information
Classic Mexican Cinema Online		Primary Source	American Studies	Brill	http://brill.com/view/db/mco	uri://brill.com/mco	7852.0	perpetual		
Cuban Culture and Cultural Relations, 1959- : The Vertical Archive of the Casa de las Américas, Part 1: “Casa y Cultura”	2542-4947	Primary Source	American Studies	Brill	http://brill.com/view/db/cuba	uri://brill.com/cuba	7900.0	perpetual		
Guatemala Collection: Government and Church Documents for Sacatepéquez (1587-1991), The	2588-882X	Primary Source	American Studies	Brill	http://brill.com/view/db/guat	uri://brill.com/guat	7500.0	perpetual		
Guatemala Collection: Government and Church Documents for Sacatepéquez (1587-1991), The	2588-882X	Primary Source	American Studies	Brill	http://brill.com/view/db/guat	uri://brill.com/guat	875.0	subscription		
Latin American Anarchist and Labour Periodicals Online		Primary Source	American Studies	Brill	http://brill.com/view/db/lalp	uri://brill.com/lalp	8476.0	perpetual		
Arkyves: Online Reference Tool for the History of Culture	2352-9334	Primary Source	Art History	Brill	http://brill.com/view/db/arko	uri://brill.com/arko	1123.0	subscription		
Art Sales Catalogues Online (includes access to Lugt's Répertoire Online)	2210-7886	Primary Source	Art History	Brill	http://brill.com/view/db/asco	uri://brill.com/asco	65541.0	perpetual	1186.0	
Art Sales Catalogues Online (includes access to Lugt's Répertoire Online)	2210-7886	Primary Source	Art History	Brill	http://brill.com/view/db/asco	uri://brill.com/asco	6438.0	subscription		
Historical Garden Design Online		Primary Source	Art History	Brill	http://brill.com/view/db/hgdo	uri://brill.com/hgdo	10182.0	perpetual		
History of Modern Russian and Ukrainian Art Online		Primary Source	Art History	Brill	http://brill.com/view/db/ruao	uri://brill.com/ruao	16463.0	perpetual		
Richard Wagner Online		Primary Source	Art History	Brill	http://brill.com/view/db/wago	uri://brill.com/wago	1850.0	perpetual		
Chinese Film and Newsreel Scripts from the Cultural Revolution Online		Primary Source	Asian Studies	Brill	http://brill.com/view/db/cfso	uri://brill.com/cfso	1518.0	perpetual		
Chinese Students' Monthly Online, The	2352-0426	Primary Source	Asian Studies	Brill	http://brill.com/view/db/csmo	uri://brill.com/csmo	3786.0	perpetual		
Colonial Period Korea Online		Primary Source	Asian Studies	Brill	http://brill.com/view/db/cpko	uri://brill.com/cpko	11388.0	perpetual		
Compilation of Chinese Medicine Periodicals Online, 1897-1952	2589-0824	Primary Source	Asian Studies	Brill	http://brill.com/view/db/cmpo	uri://brill.com/cmpo	12820.0	perpetual		
Compilation of Chinese Medicine Periodicals Online, 1897-1952	2589-0824	Primary Source	Asian Studies	Brill	http://brill.com/view/db/cmpo	uri://brill.com/cmpo	1830.0	subscription		
Japan Chronicle Online	2214-9627	Primary Source	Asian Studies	Brill	http://brill.com/view/db/jpco	uri://brill.com/jpco	15714.0	perpetual		
Japan Chronicle Online	2214-9627	Primary Source	Asian Studies	Brill	http://brill.com/view/db/jpco	uri://brill.com/jpco	1570.0	subscription		
Manchuria Daily News Online (also available as part of Mobilizing East Asia Online)	2589-0867	Primary Source	Asian Studies	Brill	http://brill.com/view/db/mdnc	uri://brill.com/mdnc	8000.0	perpetual		
Mobilizing East Asia Online: Newspapers, magazines and books from the 1900s-1950s		Primary Source	Asian Studies	Brill	http://brill.com/view/db/meao	uri://brill.com/meao	17264.0	perpetual		
North China Daily News Online		Primary Source	Asian Studies	Brill	http://brill.com/view/db/ncdo	uri://brill.com/ncdo	15600.0	perpetual		
North China Herald Online, The	2214-8345	Primary Source	Asian Studies	Brill	http://brill.com/view/db/ncho	uri://brill.com/ncho	18023.0	perpetual		
North China Standard Online	2589-0883	Primary Source	Asian Studies	Brill	http://brill.com/view/db/ncso	uri://brill.com/ncso	2500.0	perpetual		
Translations of the Peking Gazette Online	2542-5412	Primary Source	Asian Studies	Brill	http://brill.com/view/db/tpgo	uri://brill.com/tpgo	1800.0	perpetual		
Western Books on China up to 1850 Online	1877-0347	Primary Source	Asian Studies	Brill	http://brill.com/view/db/wbco	uri://brill.com/wbco	18250.0	perpetual		
Critical Editions of the New Testament Online	2405-4461	Primary Source	Biblical Studies	Brill	http://brill.com/view/db/cnto	uri://brill.com/cnto	9350.0	perpetual		
Book Sales Catalogues Online		Primary Source	Book History and Cartography	Brill	http://brill.com/view/db/bsco	uri://brill.com/bsco	15080.0	perpetual		
Conrad Gessner’s Private Library Online		Primary Source	Book History and Cartography	Brill	http://brill.com/view/db/gplo	uri://brill.com/gplo	3200.0	perpetual		
Girolamo Savonarola Online		Primary Source	Book History and Cartography	Brill	http://brill.com/view/db/gso	uri://brill.com/gso	2200.0	perpetual		
Sixteenth Century Pamphlets Online / Flugschriften Online	2210-7916	Primary Source	Book History and Cartography	Brill	http://brill.com/view/db/scpo	uri://brill.com/scpo	18160.0	perpetual		
Sixteenth Century Pamphlets Online / Flugschriften Online	2210-7916	Primary Source	Book History and Cartography	Brill	http://brill.com/view/db/scpo	uri://brill.com/scpo	2800.0	subscription		
Anti-Calvin Online		Primary Source	History	Brill	http://brill.com/view/db/aco	uri://brill.com/aco	2900.0	perpetual		
Classic Brazilian Cinema Online		Primary Source	History	Brill	http://brill.com/view/db/bco	uri://brill.com/bco	7900.0	perpetual		
Codices Hugeniani Online	2468-0303	Primary Source	History	Brill	http://brill.com/view/db/cohu	uri://brill.com/cohu	4867.0	perpetual		
Codices Vossiani Latini Online	2452-2988	Primary Source	History	Brill	http://brill.com/view/db/cvlo	uri://brill.com/cvlo	10712.0	perpetual		
Cold War Intelligence Online		Primary Source	History	Brill	http://brill.com/view/db/cwio	uri://brill.com/cwio	4066.0	perpetual		
Dutch Pamphlets Online	2214-8264	Primary Source	History	Brill	http://brill.com/view/db/dupo	uri://brill.com/dupo	49800.0	perpetual		
Dutch Pamphlets Online	2214-8264	Primary Source	History	Brill	http://brill.com/view/db/dupo	uri://brill.com/dupo	6980.0	subscription		
French Revolutionary Opinions Online		Primary Source	History	Brill	http://brill.com/view/db/froo	uri://brill.com/froo	1800.0	perpetual		
Grotius Collection Online: Works		Primary Source	History	Brill			9900.0	perpetual		
Heinrich Bullinger’s Original Publications Online		Primary Source	History	Brill	http://brill.com/view/db/bopo	uri://brill.com/bopo	2900.0	perpetual		
Huguenots Online, The		Primary Source	History	Brill	http://brill.com/view/db/hugo	uri://brill.com/hugo	3500.0	perpetual		
Hungarian Reformation Online, The		Primary Source	History	Brill	http://brill.com/view/db/huro	uri://brill.com/huro	3500.0	perpetual		
Italian Reformation Online, The		Primary Source	History	Brill	http://brill.com/view/db/itro	uri://brill.com/itro	6170.0	perpetual		
Philipp Melanchthon Online		Primary Source	History	Brill	http://brill.com/view/db/pmo	uri://brill.com/pmo	1400.0	perpetual		
Prize Papers Online 1: American Revolutionary War and Fourth Anglo-Dutch War		Primary Source	History	Brill	http://brill.com/view/db/pp1o	uri://brill.com/pp1o	9734.0	perpetual		
Prize Papers Online 2: Seven Years’ War and War of the Austrian Succession		Primary Source	History	Brill	http://brill.com/view/db/pp2o	uri://brill.com/pp2o	9734.0	perpetual		
Prize Papers Online 3: First, Second and Third Anglo-Dutch War and War of the Spanish Succession		Primary Source	History	Brill	http://brill.com/view/db/pp3o	uri://brill.com/pp3o	4867.0	perpetual		
Prize Papers Online: Atlas		Primary Source	History	Brill	http://brill.com/view/db/ppao	uri://brill.com/ppao	0.00	free	0.00	Open Access
Reformation in Heidelberg Online, The		Primary Source	History	Brill	http://brill.com/view/db/riho	uri://brill.com/riho	6170.0	perpetual		
Reformed Protestantism: East Friesland and North West Germany Online		Primary Source	History	Brill	http://brill.com/view/db/rpo	uri://brill.com/rpo	9800.0	perpetual		
U.S. Intelligence on Asia, 1945-1991	2542-7113	Primary Source	History	Brill	http://brill.com/view/db/usao	uri://brill.com/usao	4066.0	perpetual		
U.S. Intelligence on Europe, 1945-1995		Primary Source	History	Brill	http://brill.com/view/db/useo	uri://brill.com/useo	4066.0	perpetual		
U.S. Intelligence on the Middle East, 1945-2009		Primary Source	History	Brill	http://brill.com/view/db/umeo	uri://brill.com/umeo	4066.0	perpetual		
Weapons of Mass Destruction: The Top Secret History of America’s Nuclear, Chemical and Biological Warfare Programs and Their Deployment Overseas		Primary Source	History	Brill	http://brill.com/view/db/wmd	uri://brill.com/wmd	4066.0	perpetual		
Climate Change and Law Collection (* CCLC Update Fee forthcoming. The 2019 update fee will be the first to be charged.)	2542-6737	Primary Source	International Law	Brill	http://brill.com/view/db/cclc	uri://brill.com/cclc	1290.0	perpetual		An update fee will be charged for 2019 onwards
Human Rights Documents Online	2210-7975	Primary Source	International Law	Brill	http://brill.com/view/db/hrdo	uri://brill.com/hrdo	99850.0	perpetual	5429.0	
Human Rights Documents Online	2210-7975	Primary Source	International Law	Brill	http://brill.com/view/db/hrdo	uri://brill.com/hrdo	9880.0	subscription		
Ephraim Deinard (1846-1930) Online		Primary Source	Jewish Studies	Brill	http://brill.com/view/db/edo	uri://brill.com/edo	1950.0	perpetual		
Hebrew and Judeo-Arabic Printing in Baghdad Online		Primary Source	Jewish Studies	Brill	http://brill.com/view/db/hpbo	uri://brill.com/hpbo	4250.0	perpetual		
Hebrew, Judeo-Arabic, and Marathi Jewish Printing in India Online		Primary Source	Jewish Studies	Brill	http://brill.com/view/db/hpio	uri://brill.com/hpio	9150.0	perpetual		
Israel’s Messenger Online		Primary Source	Jewish Studies	Brill	http://brill.com/view/db/ismo	uri://brill.com/ismo	2922.0	perpetual		
Moses Maimonides, Unparalleled Editions Online		Primary Source	Jewish Studies	Brill	http://brill.com/view/db/mmuo	uri://brill.com/mmuo	3578.0	perpetual		
Sephardic Editions, 1550-1820: Installments 1-3 Online		Primary Source	Jewish Studies	Brill	http://brill.com/view/db/seeo	uri://brill.com/seeo	9100.0	perpetual		
Lithographed Editions of Firdawsī's Shāhnāmah Online		Primary Source	Middle East and Islamic Studies	Brill	http://brill.com/view/db/leso	uri://brill.com/leso	3432.0	perpetual		
Middle Eastern Manuscripts Online 1: Pioneer Orientalists		Primary Source	Middle East and Islamic Studies	Brill	http://brill.com/view/db/mm1o	uri://brill.com/mm1o	22620.0	perpetual		
