SO Name,Brill Master 2013_2013,,,,,,,,,,,,,,,,,,,
SO Identifier,brill_master_2013_2013,,,,,,,,,,,,,,,,,,,
Provider,Brill,,,,,,,,,,,,,,,,,,,
Package Identifier,2013 Master,,,,,,,,,,,,,,,,,,,
Package Name,2013 Master,,,,,,,,,,,,,,,,,,,
Agreement Term Start Year,2013,,,,,,,,,,,,,,,,,,,
Agreement Term End Year,2013,,,,,,,,,,,,,,,,,,,
Consortium,,,,,,,,,,,,,,,,,,,,
Number of Proprietary_ID columns,0,,,,,,,,,,,,,,,,,,,
Number of Platforms listed,2,,,,,,,,,,,,,,,,,,,
publication_title,print_identifier,online_identifier,date_first_issue_online,num_first_vol_online,num_first_issue_online,date_last_issue_online,num_last_vol_online,num_last_issue_online,title_id,embargo_info,coverage_depth,coverage_notes,publisher_name,DOI,platform_name,platform_role,platform_title_url,platform_name,platform_role,platform_title_url
African and Asian Studies,1569-2094,1569-2108,2002-01,1,1,,,,15692108,,full text,formerly Journal of Asian and African Studies,Brill,,Brill Online Books and Journals,host,http://booksandjournals.brillonline.com/content/15692108,Brill Online Books and Journals,administrative,
African Diaspora,1872-5457,1872-5465,2008-11,1,1,,,,18725465,,full text,OA,Brill,,Brill Online Books and Journals,host,http://booksandjournals.brillonline.com/content/18725465,Brill Online Books and Journals,administrative,
African Journal of Legal Studies,2210-9730,1708-7384,2004-05,1,1,,,,17087384,,full text,,Brill,,Brill Online Books and Journals,host,http://booksandjournals.brillonline.com/content/17087384,Brill Online Books and Journals,administrative,
Amphibia-Reptilia,0173-5373,1568-5381,1980-01,1,1,,,,15685381,,full text,,Brill,,Brill Online Books and Journals,host,http://booksandjournals.brillonline.com/content/15685381,Brill Online Books and Journals,administrative,
Ancient Civilizations from Scythia to Siberia,0929-077X,1570-0577,1995-01,1,1,,,,15700577,,full text,,Brill,,Brill Online Books and Journals,host,http://booksandjournals.brillonline.com/content/15700577,Brill Online Books and Journals,administrative,
Animal Biology,1570-7555,1570-7563,2003-09,53,1,,,,15707563,,full text,,Brill,,Brill Online Books and Journals,host,http://booksandjournals.brillonline.com/content/15707563,Brill Online Books and Journals,administrative,
Arab Law Quarterly,0268-0556,1573-0255,1985-01,1,1,,,,15730255,,full text,,Brill,,Brill Online Books and Journals,host,http://booksandjournals.brillonline.com/content/15730255,Brill Online Books and Journals,administrative,
Arabica,0570-5398,1570-0585,1954-01,1,1,,,,15700585,,full text,,Brill,,Brill Online Books and Journals,host,http://booksandjournals.brillonline.com/content/15700585,Brill Online Books and Journals,administrative,
Aramaic Studies,1477-8351,1745-5227,2003-03,1,1,,,,17455227,,full text,,Brill,,Brill Online Books and Journals,host,http://booksandjournals.brillonline.com/content/17455227,Brill Online Books and Journals,administrative,
Archive for the Psychology of Religion,0084-6724,1573-6121,1914-01,1,1,,,,15736121,,full text,,Brill,,Brill Online Books and Journals,host,http://booksandjournals.brillonline.com/content/15736121,Brill Online Books and Journals,administrative,
Aries,1567-9896,1570-0593,2001-01,1,1,,,,15700593,,full text,,Brill,,Brill Online Books and Journals,host,http://booksandjournals.brillonline.com/content/15700593,Brill Online Books and Journals,administrative,
Art & Perception ,2213-4905,2213-4913,,,,,,,22134913,,full text,new 2013. no online content yet available,Brill,,Brill Online Books and Journals,host,http://booksandjournals.brillonline.com/content/22134913,Brill Online Books and Journals,administrative,
Asian Journal of Social Science,1568-4849,1568-5314,1973-01,1,1,,,,15685314,,full text,,Brill,,Brill Online Books and Journals,host,http://booksandjournals.brillonline.com/content/15685314,Brill Online Books and Journals,administrative,
Asia-Pacific Journal on Human Rights and the Law,1388-1906,1571-8158,2000-01,1,1,,,,15718158,,full text,,Brill,,Brill Online Books and Journals,host,http://booksandjournals.brillonline.com/content/15718158,Brill Online Books and Journals,administrative,
Behaviour,0005-7959,1568-539X,1948-01,1,1,,,,1568539x,,full text,,Brill,,Brill Online Books and Journals,host,http://booksandjournals.brillonline.com/content/1568539x,Brill Online Books and Journals,administrative,
Biblical Interpretation,0927-2569,1568-5152,1993-01,1,1,,,,15685152,,full text,,Brill,,Brill Online Books and Journals,host,http://booksandjournals.brillonline.com/content/15685152,Brill Online Books and Journals,administrative,
"Bijdragen tot de Land-, Taal- en Volkenkunde",0006-2294  ,2213-4379,,,,,,,22134379,,full text,OA. take over 2013. no online content yet available,Brill,,Brill Online Books and Journals,host,http://booksandjournals.brillonline.com/content/22134379,Brill Online Books and Journals,administrative,
Brill's Annual of Afroasiatic Languages and Linguistics,1876-6633,1877-6930,2009-11,1,1,,,,18776930,,full text,,Brill,,Brill Online Books and Journals,host,http://booksandjournals.brillonline.com/content/18776930,Brill Online Books and Journals,administrative,
Bustan: The Middle East Book Review,1878-5301,1878-5328,2010-06,1,1,,,,18785328,,full text,,Brill,,Brill Online Books and Journals,host,http://booksandjournals.brillonline.com/content/18785328,Brill Online Books and Journals,administrative,
Cahiers de Linguistique Asie Orientale / Oriental Languages and Linguistics ,0153-3320,1960-6028,,,,,,,19606028,,full text,take over 2013. no online content yet available,Brill,,Brill Online Books and Journals,host,http://booksandjournals.brillonline.com/content/19606028,Brill Online Books and Journals,administrative,
Canadian-American Slavic Studies,0090-8290,2210-2396,1969-01,3,1,,,,22102396,,full text,,Brill,,Brill Online Books and Journals,host,http://booksandjournals.brillonline.com/content/22102396,Brill Online Books and Journals,administrative,
Church History and Religious Culture,1871-241X,1871-2428,2006-06,86,1,,,,18712428,,full text,continuation of Nederlands Archief voor Kerkgeschiedenis,Brill,,Brill Online Books and Journals,host,http://booksandjournals.brillonline.com/content/18712428,Brill Online Books and Journals,administrative,
Comparative Sociology,1569-1322,1569-1330,2002-01,1,1,,,,15691330,,full text,continuation of International Journal of Comparative Sociology ,Brill,,Brill Online Books and Journals,host,http://booksandjournals.brillonline.com/content/15691330,Brill Online Books and Journals,administrative,
Crustaceana,0011-216x,1568-5403,1960-01,1,1,,,,15685403,,full text,,Brill,,Brill Online Books and Journals,host,http://booksandjournals.brillonline.com/content/15685403,Brill Online Books and Journals,administrative,
Dead Sea Discoveries,0929-0761,1568-5179,1994-01,1,1,,,,15685179,,full text,,Brill,,Brill Online Books and Journals,host,http://booksandjournals.brillonline.com/content/15685179,Brill Online Books and Journals,administrative,
Die Welt des Islams,0043-2539,1570-0607,1951-01,1,1,,,,15700607,,full text,,Brill,,Brill Online Books and Journals,host,http://booksandjournals.brillonline.com/content/15700607,Brill Online Books and Journals,administrative,
Early Science and Medicine,1383-7427,1573-3823,1996-01,1,1,,,,15733823,,full text,,Brill,,Brill Online Books and Journals,host,http://booksandjournals.brillonline.com/content/15733823,Brill Online Books and Journals,administrative,
East Asian Publishing and Society,2210-6278,2210-6286,2011-01,1,1,,,,22106286,,full text,,Brill,,Brill Online Books and Journals,host,http://booksandjournals.brillonline.com/content/22106286,Brill Online Books and Journals,administrative,
East Central Europe,0094-3037,1876-3308,1975-01,2,1,,,,18763308,,full text,,Brill,,Brill Online Books and Journals,host,http://booksandjournals.brillonline.com/content/18763308,Brill Online Books and Journals,administrative,
Ecclesiology,1744-1366,1745-5316,2004-01,1,1,,,,17455316,,full text,,Brill,,Brill Online Books and Journals,host,http://booksandjournals.brillonline.com/content/17455316,Brill Online Books and Journals,administrative,
Erasmus of Rotterdam Society Yearbook,0276-2854,1874-9275,1981-01,1,1,,,,18749275,,full text,,Brill,,Brill Online Books and Journals,host,http://booksandjournals.brillonline.com/content/18749275,Brill Online Books and Journals,administrative,
European Journal of Comparative Law and Governance ,2213-4506,2213-4514,,,,,,,22134514,,full text,new 2013. no online content yet available,Brill,,Brill Online Books and Journals,host,http://booksandjournals.brillonline.com/content/22134514,Brill Online Books and Journals,administrative,
"European Journal of Crime, Criminal Law and Criminal Justice",0928-9569,1571-8174,1993-01,1,1,,,,15718174,,full text,,Brill,,Brill Online Books and Journals,host,http://booksandjournals.brillonline.com/content/15718174,Brill Online Books and Journals,administrative,
European Journal of East Asian Studies,1568-0584,1570-0615,2002-06,1,1,,,,15700615,,full text,,Brill,,Brill Online Books and Journals,host,http://booksandjournals.brillonline.com/content/15700615,Brill Online Books and Journals,administrative,
European Journal of Health Law,0929-0273,1571-8093,1994-01,1,1,,,,15718093,,full text,,Brill,,Brill Online Books and Journals,host,http://booksandjournals.brillonline.com/content/15718093,Brill Online Books and Journals,administrative,
European Journal of Jewish Studies,1025-9996,1872-471X,2007-03,1,1,,,,1872471x,,full text,,Brill,,Brill Online Books and Journals,host,http://booksandjournals.brillonline.com/content/1872471x,Brill Online Books and Journals,administrative,
European Journal of Migration and Law,1388-364X,1571-8166,1999-01,1,1,,,,15718166,,full text,,Brill,,Brill Online Books and Journals,host,http://booksandjournals.brillonline.com/content/15718166,Brill Online Books and Journals,administrative,
Exchange,0166-2740,1572-543X,1972-01,1,1,,,,1572543x,,full text,,Brill,,Brill Online Books and Journals,host,http://booksandjournals.brillonline.com/content/1572543x,Brill Online Books and Journals,administrative,
Experiment,1084-4945,2211-730X,2011-01,17,1,,,,2211730x,,full text,,Brill,,Brill Online Books and Journals,host,http://booksandjournals.brillonline.com/content/2211730x,Brill Online Books and Journals,administrative,
Fascism,2211-6249,2211-6257,2012-01,1,1,,,,22116257,,full text,OA,Brill,,Brill Online Books and Journals,host,http://booksandjournals.brillonline.com/content/22116257,Brill Online Books and Journals,administrative,
