publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type	DOI	title_image
"Global physical climatology"	"9780123285317"	"9780080918624"							"http://www.vlebooks.com/vleweb/product/openreader?id=none&isbn=9780080918624&uid=none"						"Elsevier"											"http://www.askewsandholts.com/EBookImages/9780080918624.jpg"	
"Grassroots-campaigning"	"9783531162621"	"9783531188768"							"http://www.vlebooks.com/vleweb/product/openreader?id=none&isbn=9783531188768&uid=none"						"Springer"											"http://www.askewsandholts.com/EBookImages/9783531188768.jpg"	
"Dynamic failure of materials and structures"	"9781441904454"	"9781441904461"							"http://www.vlebooks.com/vleweb/product/openreader?id=none&isbn=9781441904461&uid=none"						"Springer"											"http://www.askewsandholts.com/EBookImages/9781441904461.jpg"	
"Handbook of offshore oil and gas operations"	"9781856175586"	"9780080878195"							"http://www.vlebooks.com/vleweb/product/openreader?id=none&isbn=9780080878195&uid=none"						"Gulf Professional Publishing"											"http://www.askewsandholts.com/EBookImages/9780080878195.jpg"	
"A history of emotions, 1200-1800"	"9781848933569"	"9781317320500"							"http://www.vlebooks.com/vleweb/product/openreader?id=none&isbn=9781317320500&uid=none"						"Routledge"											"http://www.askewsandholts.com/EBookImages/9781317320500.jpg"	
"Surface production operations.: (Facility piping and pipeline systems)"	"9781856178082"	"9780080964218"							"http://www.vlebooks.com/vleweb/product/openreader?id=none&isbn=9780080964218&uid=none"						"Gulf Professional Publishing"											"http://www.askewsandholts.com/EBookImages/9780080964218.jpg"	
"Handbook of nonwoven filter media"	"9780080983011"	"9780080983028"							"http://www.vlebooks.com/vleweb/product/openreader?id=none&isbn=9780080983028&uid=none"						"Butterworth-Heinemann"											"http://www.askewsandholts.com/EBookImages/9780080983028.jpg"	
"Marine structural design."	"9780080999975"	"9780081000076"							"http://www.vlebooks.com/vleweb/product/openreader?id=none&isbn=9780081000076&uid=none"						"Butterworth-Heinemann"											"http://www.askewsandholts.com/EBookImages/9780081000076.jpg"	
"Project management for information professionals"	"9780081001271"	"9780081001332"							"http://www.vlebooks.com/vleweb/product/openreader?id=none&isbn=9780081001332&uid=none"						"Chandos Publishing"											"http://www.askewsandholts.com/EBookImages/9780081001332.jpg"	
"Breast surgery: office management and surgical techniques"	"9781441960757"	"9781441960764"							"http://www.vlebooks.com/vleweb/product/openreader?id=none&isbn=9781441960764&uid=none"						"Springer"											"http://www.askewsandholts.com/EBookImages/9781441960764.jpg"	
"Handbook of the sociology of health, illness, and healing: a blueprint for the 21st cenutry"	"9781441972590"	"9781441972613"							"http://www.vlebooks.com/vleweb/product/openreader?id=none&isbn=9781441972613&uid=none"						"Springer"											"http://www.askewsandholts.com/EBookImages/9781441972613.jpg"	
"Small satellites for Earth observation"	"9781402069420"	"9781402069437"							"http://www.vlebooks.com/vleweb/product/openreader?id=none&isbn=9781402069437&uid=none"						"Springer"											"http://www.askewsandholts.com/EBookImages/9781402069437.jpg"	
"The mindful librarian: connecting the practice of mindfulness to librarianship"	"9780081005552"	"9780081005613"							"http://www.vlebooks.com/vleweb/product/openreader?id=none&isbn=9780081005613&uid=none"						"Chandos Publishing"											"http://www.askewsandholts.com/EBookImages/9780081005613.jpg"	
"Practical guide to risk-based investing"	"9781785480089"	"9780081008119"							"http://www.vlebooks.com/vleweb/product/openreader?id=none&isbn=9780081008119&uid=none"						"Elsevier"											"http://www.askewsandholts.com/EBookImages/9780081008119.jpg"	
"Managing ebook metadata in academic libraries: taming the tiger"	"9780081001516"	"9780081002155"							"http://www.vlebooks.com/vleweb/product/openreader?id=none&isbn=9780081002155&uid=none"						"Chandos Publishing"											"http://www.askewsandholts.com/EBookImages/9780081002155.jpg"	
"Express Series: English for Aviation: for Pilots and Air Traffic Controllers"	"9780194579421"	"9780194201209"							"http://www.vlebooks.com/vleweb/product/openreader?id=none&isbn=9780194201209&uid=none"						"Oxford University Press"											"http://www.askewsandholts.com/EBookImages/9780194201209.jpg"	
"English for customer care"	"9780194579063"	"9780194201223"							"http://www.vlebooks.com/vleweb/product/openreader?id=none&isbn=9780194201223&uid=none"						"Oxford University Press"											"http://www.askewsandholts.com/EBookImages/9780194201223.jpg"	
"English for human resources"	"9780194579032"	"9780194201278"							"http://www.vlebooks.com/vleweb/product/openreader?id=none&isbn=9780194201278&uid=none"						"Oxford University Press"											"http://www.askewsandholts.com/EBookImages/9780194201278.jpg"	
"English for marketing & advertising"	"9780194579186"	"9780194201308"							"http://www.vlebooks.com/vleweb/product/openreader?id=none&isbn=9780194201308&uid=none"						"Oxford University Press"											"http://www.askewsandholts.com/EBookImages/9780194201308.jpg"	
"English for meetings"	"9780194579339"	"9780194201315"							"http://www.vlebooks.com/vleweb/product/openreader?id=none&isbn=9780194201315&uid=none"						"Oxford University Press"											"http://www.askewsandholts.com/EBookImages/9780194201315.jpg"	
"A second course in stochastic processes"	"9780123986504"	"9780080570501"							"http://www.vlebooks.com/vleweb/product/openreader?id=none&isbn=9780080570501&uid=none"						"Academic Press"											"http://www.askewsandholts.com/EBookImages/9780080570501.jpg"	
"Psychophysics: a practical introduction"	"9780124071568"	"9780080993812"							"http://www.vlebooks.com/vleweb/product/openreader?id=none&isbn=9780080993812&uid=none"						"Academic Press"											"http://www.askewsandholts.com/EBookImages/9780080993812.jpg"	
"Externes Corporate Governance Reporting borsennotierter Publikumsgesellschaften: Konzeptionelle Vorschlage zur Weiterentwicklung der unternehmerischen Berichterstattung"	"9783834926548"	"9783834965820"							"http://www.vlebooks.com/vleweb/product/openreader?id=none&isbn=9783834965820&uid=none"						"Gabler Verlag"											"http://www.askewsandholts.com/EBookImages/9783834965820.jpg"	
"Amazonian floodplain forests: ecophysiology, biodiversity and sustainable management"	"9789048187249"	"9789048187256"							"http://www.vlebooks.com/vleweb/product/openreader?id=none&isbn=9789048187256&uid=none"						"Springer"											"http://www.askewsandholts.com/EBookImages/9789048187256.jpg"	
"Introduction to Probability and Statistics for Engineers and Scientists, Student Solutions Manual"	""	"9780080919423"							"http://www.vlebooks.com/vleweb/product/openreader?id=none&isbn=9780080919423&uid=none"						"Academic Press"											"http://www.askewsandholts.com/EBookImages/9780080919423.jpg"	
"Ultrasonography in vascular diagnosis"	"9783642025082"	"9783642025099"							"http://www.vlebooks.com/vleweb/product/openreader?id=none&isbn=9783642025099&uid=none"						"Springer"											"http://www.askewsandholts.com/EBookImages/9783642025099.jpg"	
