SO Name,Cambridge University Press:Master:2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SO Identifier,Cambridge University Press_Master_2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Provider,Cambridge University Press,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Package Identifier,Master,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Package Name,Master,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agreement Term Start Year,01/01/2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agreement Term End Year,31/12/2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Consortium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
publication_title,ID.issn,ID.eissn,date_first_issue_online,num_first_vol_online,num_first_issue_online,date_last_issue_online,num_last_vol_online,num_last_issue_online,ID.kbart_title_id,embargo_info,coverage_depth,coverage_notes,publisher_name,ID.doi,platform.host.name,platform.host.url,platform.administrative.name,platform.administrative.url,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acta Neuropsychiatrica,0924-2708,1601-5215,02/01/2013,25,1,,,,NEU,,fulltext,Previously published by Wiley-Blackwell,,,Cambridge Journals,http://journals.cambridge.org/NEU,Cambridge Journals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acta Numerica,0962-4929,1474-0508,01/01/2000,9,,,,,ANU,,fulltext,,,,Cambridge Journals,http://journals.cambridge.org/jid_ANU,Cambridge Journals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Advances in Animal Biosciences,2040-4700,2040-4719,04/01/2010,1,1,,, ,ABS,,fulltext,,,,Cambridge Journals,http://journals.cambridge.org/jid_ABS,Cambridge Journals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa,0001-9720,1750-0184,01/01/1928,1,1,,,,AFR,,fulltext,,,,Cambridge Journals,http://journals.cambridge.org/jid_AFR,Cambridge Journals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa Bibliography,0266-6731,1757-1642,01/01/1985,1984,,,,,AFB,,fulltext,,,,Cambridge Journals,http://journals.cambridge.org/jid_AFB,Cambridge Journals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
African Studies Review,0002-0206,1555-2462 ,,,,,,,ASR,,fulltext,New for 2013. Not online content available yet,,,Cambridge Journals,http://journals.cambridge.org/ASR,Cambridge Journals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ageing & Society,0144-686X,1469-1779,01/01/1981,1,1,,,,ASO,,fulltext,,,,Cambridge Journals,http://journals.cambridge.org/jid_ASO,Cambridge Journals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AI EDAM,0890-0604,1469-1760,01/01/1987,1,1,,,,AIE,,fulltext,,,,Cambridge Journals,http://journals.cambridge.org/jid_AIE,Cambridge Journals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AJS Review,0364-0094,1475-4541,01/01/1976,1,1,,,,AJS,,fulltext,,,,Cambridge Journals,http://journals.cambridge.org/jid_AJS,Cambridge Journals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
American Political Science Review,0003-0554,1537-5943,03/01/2001,95,1,,,,PSR,,fulltext,,,,Cambridge Journals,http://journals.cambridge.org/jid_PSR,Cambridge Journals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anatolian Studies,0066-1546,2048-0849,12/01/2009,59,,, ,,ANK,,fulltext,Previously self published by The British Institute at Ankara,,,Cambridge Journals,http://journals.cambridge.org/jid_ANK,Cambridge Journals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ancient Mesoamerica,0956-5361,1469-1787,01/01/1990,1,1,,,,ATM,,fulltext,,,,Cambridge Journals,http://journals.cambridge.org/jid_ATM,Cambridge Journals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anglo-Saxon England,0263-6751,1474-0532,01/01/1972,1,1,,,,ASE,,fulltext,,,,Cambridge Journals,http://journals.cambridge.org/jid_ASE,Cambridge Journals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
animal,1751-7311,1751-732X,02/01/2007,1,1,,,,ANM,,fulltext, ,,,Cambridge Journals,http://journals.cambridge.org/jid_ANM,Cambridge Journals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Animal Genetic Resources / Resources Genetiques Animales / Recursos Geneticos Animales,2078-6336,2076-6344,04/01/2010,46,,,,,AGR,,fulltext,Formerly Animal Genetic Resources Information,,,Cambridge Journals,http://journals.cambridge.org/jid_AGR,Cambridge Journals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Animal Genetic Resources Information,1014-2339,2076-4022,01/01/1983,1,,12/31/2009,45,,,,fulltext,Currently Animal Genetic Resources / Resources g?n?tiques animales / Recursos gen?ticos animales,,,Cambridge Journals,http://journals.cambridge.org/jid_AGR,Cambridge Journals,,,,,,,,,,,,,,,Animal Health Research Reviews,1466-2523,1475-2654,06/01/2000,1,1,,,,AHR,,fulltext,,,,Cambridge Journals,http://journals.cambridge.org/jid_AHR,Cambridge Journals
Annales de Limnologie - International Journal of Limnology,0003-4088,2100-000X,01/01/1965,1,1,,,,ANL,,fulltext,The entire collection of back issues (24 months after publication) is available online and free of charge (from 1965 vol 1 iss 1 to 2011 vol 47 iss 4),,,Cambridge Journals,http://journals.cambridge.org/jid_ANL,Cambridge Journals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Annals of Actuarial Science,1748-4995,1748-5002,03/01/2006,1,1,,,,AAS,,fulltext,,,,Cambridge Journals,http://journals.cambridge.org/jid_AAS,Cambridge Journals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Annual of the British School at Athens,0068-2454,2045-2403,11/01/2008,103,,,,,ATH,,fulltext,,,,Cambridge Journals,http://journals.cambridge.org/jid_ATH,Cambridge Journals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Annual Review of Applied Linguistics,0267-1905,1471-6356,01/01/1980,1,,,,,APL,,fulltext,,,,Cambridge Journals,http://journals.cambridge.org/jid_APL,Cambridge Journals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antarctic Science,0954-1020,1365-2079,03/01/1989,1,1,,,,ANS,,fulltext,,,,Cambridge Journals,http://journals.cambridge.org/jid_ANS,Cambridge Journals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Applied Psycholinguistics,0142-7164,1469-1817,01/01/1980,1,1,,,,APS,,fulltext,,,,Cambridge Journals,http://journals.cambridge.org/jid_APS,Cambridge Journals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APSIPA Transactions on Signal and Information Processing,,2048-7703,12/01/2012,1,,, ,,SIP,,fulltext,Open Access,,,Cambridge Journals,http://journals.cambridge.org/jid_SIP,Cambridge Journals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aquatic Living Resources,0990-7440,1765-2952,01/01/1988,1,1,,,,ALR,,fulltext,The entire collection of back issues (24 months after publication) is available online and free of charge (from 1988 vol 1 iss 1 to 2010 vol 23 iss 4),,,Cambridge Journals,http://journals.cambridge.org/jid_ALR,Cambridge Journals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arabic Sciences and Philosophy,0957-4239,1474-0524,01/01/1991,1,1,,,,ASP,,fulltext,,,,Cambridge Journals,http://journals.cambridge.org/jid_ASP,Cambridge Journals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arbor Clinical Nutrition Updates,,1446-5450,,,,,,,CAN,,fulltext,Not online content available yet,,,Cambridge Journals,http://journals.cambridge.org/ACN,Cambridge Journals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Archaeological Dialogues,1380-2038,1478-2294,01/01/1994,1,1,,,,ARD,,fulltext,,,,Cambridge Journals,http://journals.cambridge.org/jid_ARD,Cambridge Journals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Archaeological Reports,0570-6084,2041-4102,01/01/1955,1,,,,,ARE,,fulltext,,,,Cambridge Journals,http://journals.cambridge.org/jid_ARE,Cambridge Journals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
arq: Architectural Research Quarterly,1359-1355,1474-0516,01/01/1995,1,1,,,,ARQ,,fulltext,,,,Cambridge Journals,http://journals.cambridge.org/jid_ARQ,Cambridge Journals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Journal of International Law,2044-2513,2044-2521,1/25/2011,1,1,,,,AJL,,fulltext,,,,Cambridge Journals,http://journals.cambridge.org/jid_AJL,Cambridge Journals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASTIN Bulletin: The Journal of the IAA,0515-0361,1783-1350,,,,,,,ASB,,fulltext,New for 2013. Formerly published by Peeters,,,Cambridge Journals,http://journals.cambridge.org/jid_ASB,Cambridge Journals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australasian Journal of Special Education,1030-0112,1833-6914,08/01/2009,33,1,, ,,JSE,,fulltext,Formerly published by Australian Academic Press,,,Cambridge Journals,http://journals.cambridge.org/jid_JSE,Cambridge Journals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australian and New Zealand Journal of Family Therapy,0814-723X,1467-8438,01/01/2007,28,1,12/31/2012,33,4,AFT,,fulltext,Formerly published by Australian Academic Press. Published by CUP for 2012.. Moving to Wiley for 2013.,,,Cambridge Journals,http://journals.cambridge.org/jid_AFT,Cambridge Journals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australian and New Zealand Journal of Organisational Psychology,,1835-7601,01/01/2008,1,1,,,,ORP,,fulltext,Formerly published by Australian Academic Press ,,,Cambridge Journals,http://journals.cambridge.org/ORP,Cambridge Journals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australian Educational and Developmental Psychologist,0816-5122,1839-2504,01/01/2008,25,1,,,,EDP,,fulltext,Formerly published by Australian Academic Press ,,,Cambridge Journals,http://journals.cambridge.org/EDP,Cambridge Journals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australian Journal of Environmental Education,0814-0626,2049-775X,01/01/2011,27,1,, ,,AEE,,fulltext,Formerly published by Australian Academic Press ,,,Cambridge Journals,http://journals.cambridge.org/jid_AEE,Cambridge Journals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australian Journal of Guidance and Counselling,1037-2911,1839-2520,01/01/2005,15,1,, ,,JGC,,fulltext,Formerly published by Australian Academic Press,,,Cambridge Journals,http://journals.cambridge.org/jid_JGC,Cambridge Journals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australian Journal of Indigenous Education,1326-0111,2049-7784,01/01/2011,40,1,,,,JIE,,fulltext,Formerly published by Australian Academic Press,,,Cambridge Journals,http://journals.cambridge.org/JIE,Cambridge Journals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australian Journal of Rehabilitation Counselling,1323-8922,1838-6059,01/01/2006,12,1,,,,JRC,,fulltext,Formerly published by Australian Academic Press,,,Cambridge Journals,http://journals.cambridge.org/JRC,Cambridge Journals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austrian History Yearbook,0067-2378,1558-5255,01/01/1965,1,1,,,,AHY,,fulltext,,,,Cambridge Journals,http://journals.cambridge.org/jid_AHY,Cambridge Journals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Behavioral and Brain Sciences,0140-525X,1469-1825,01/01/1978,1,1,,,,BBS,,fulltext,,,,Cambridge Journals,http://journals.cambridge.org/jid_BBS,Cambridge Journals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
