publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	coverage_notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type	medium 	monograph_parent_collection_title 	subject_area 	listprice_eur 	listprice_gbp 	listprice_usd 
Commercial Applications of Ionic Liquids	978-3-030-35244-8	978-3-030-35245-5							http://link.springer.com/10.1007/978-3-030-35245-5	Shiflett	10.1007/978-3-030-35245-5		fulltext		Springer International Publishing	monograph	2020	2020		1	D'Silva	11661		P	Book	Testbooks	Betriebswirtschaftslehre, Volkswirtschaftslehre, Geschichte	7164.79	817.94	8263.61
Fluorination	978-981-10-3895-2	978-981-10-3896-9							http://link.springer.com/10.1007/978-981-10-3896-9	Hu	10.1007/978-981-10-3896-9		fulltext		Springer Singapore	monograph	2020	2020		1	Guo	15460		P	Book	Testing Study collection 	Betriebswirtschaftslehre	632.35	8023.2	7702.62
Fluorination		978-981-10-1855-8							http://link.springer.com/10.1007/978-981-10-1855-8	Hu	10.1007/978-981-10-1855-8		fulltext		Springer Singapore	monograph	2020	2020		0	Tang	15460		P	Book	Test University Press	Betriebswirtschaftslehre, Volkswirtschaftslehre, Geschichte	2354.98	4779.43	2008.57
Aptamers in Biotechnology	978-3-030-54060-9	978-3-030-54061-6							http://link.springer.com/10.1007/978-3-030-54061-6	Urmann	10.1007/978-3-030-54061-6		fulltext		Springer International Publishing	monograph	2020	2020	174	1	Costa	10		P	Book	TestparnetCollection	Volkswirtschaftslehre	9053.44	3444.59	476.75
Alkaliphiles in Biotechnology	978-3-030-49735-4	978-3-030-49736-1							http://link.springer.com/10.1007/978-3-030-49736-1	Mamo	10.1007/978-3-030-49736-1		fulltext		Springer International Publishing	monograph	2020	2020	172	1	Costa	10		P	Book	Testbooks	Volkswirtschaftslehre	3114.78	1460.95	2941.0
Current Applications of Pharmaceutical Biotechnology	978-3-030-40463-5	978-3-030-40464-2							http://link.springer.com/10.1007/978-3-030-40464-2	Silva	10.1007/978-3-030-40464-2		fulltext		Springer International Publishing	monograph	2020	2020	171	1	Weyandt	10		P	Book	Testing Study collection 	Betriebswirtschaftslehre	532.48	7679.29	994.43
Sustainability and Life Cycle Assessment in Industrial Biotechnology	978-3-030-47065-4	978-3-030-47066-1							http://link.springer.com/10.1007/978-3-030-47066-1	Fröhling	10.1007/978-3-030-47066-1		fulltext		Springer International Publishing	monograph	2020	2020	173	1	Costa	10		P	Book	Test University Press	Betriebswirtschaftslehre, Volkswirtschaftslehre, Geschichte	956.26	6130.19	5074.35
Catalytically Active Nucleic Acids	978-3-030-29645-2	978-3-030-29646-9							http://link.springer.com/10.1007/978-3-030-29646-9	Seitz	10.1007/978-3-030-29646-9		fulltext		Springer International Publishing	monograph	2020	2020	170	1	Weyandt	10		P	Book	TestparnetCollection	Volkswirtschaftslehre	817.94	8569.38	6758.96
Antibiotic Resistance in the Environment	978-3-030-55064-6	978-3-030-55065-3							http://link.springer.com/10.1007/978-3-030-55065-3	Manaia	10.1007/978-3-030-55065-3		fulltext		Springer International Publishing	monograph	2020	2020	91	1	Costa	698		P	Book	Testbooks	Betriebswirtschaftslehre	8023.2	585.66	9460.33
Pyrethroid Insecticides	978-3-030-55695-2	978-3-030-55696-9							http://link.springer.com/10.1007/978-3-030-55696-9	Eljarrat	10.1007/978-3-030-55696-9		fulltext		Springer International Publishing	monograph	2020	2020	92	1	Costa	698		P	Book	Testing Study collection 	Betriebswirtschaftslehre	4779.43	3342.16	1405.24
The Rivers of Montenegro	978-3-030-55711-9	978-3-030-55712-6							http://link.springer.com/10.1007/978-3-030-55712-6	Pešić	10.1007/978-3-030-55712-6		fulltext		Springer International Publishing	monograph	2020	2020	93	1	Costa	698		P	Book	Test University Press	Betriebswirtschaftslehre	3444.59	7219.63	8327.63
Non-Steroidal Anti-Inflammatory Drugs in Water	978-3-030-56293-9	978-3-030-56294-6							http://link.springer.com/10.1007/978-3-030-56294-6	Gómez-Oliván	10.1007/978-3-030-56294-6		fulltext		Springer International Publishing	monograph	2020	2020	96	1	Costa	698		P	Book	TestparnetCollection	Betriebswirtschaftslehre	1460.95	3486.22	7119.29
Sunscreens in Coastal Ecosystems	978-3-030-56076-8	978-3-030-56077-5							http://link.springer.com/10.1007/978-3-030-56077-5	Tovar-Sánchez	10.1007/978-3-030-56077-5		fulltext		Springer International Publishing	monograph	2020	2020	94	1	Costa	698		P	Book	Testbooks	Volkswirtschaftslehre	7679.29	3916.52	30.07
Microplastics in Terrestrial Environments	978-3-030-56270-0	978-3-030-56271-7							http://link.springer.com/10.1007/978-3-030-56271-7	He	10.1007/978-3-030-56271-7		fulltext		Springer International Publishing	monograph	2020	2020	95	1	Costa	698		P	Book	Testing Study collection 	Betriebswirtschaftslehre	6130.19	6455.52	6883.98
Contaminants of the Great Lakes	978-3-030-57873-2	978-3-030-57874-9							http://link.springer.com/10.1007/978-3-030-57874-9	Crossman	10.1007/978-3-030-57874-9		fulltext		Springer International Publishing	monograph	2020	2020	101	1	Costa	698		P	Book	Test University Press	Betriebswirtschaftslehre	8569.38	4729.71	634.12
Water Resources in Algeria - Part I	978-3-030-57894-7	978-3-030-57895-4							http://link.springer.com/10.1007/978-3-030-57895-4	Negm	10.1007/978-3-030-57895-4		fulltext		Springer International Publishing	monograph	2020	2020	97	1	Costa	698		P	Book	TestparnetCollection	Betriebswirtschaftslehre	585.66	2647.16	1317.2
