publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	coverage_notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type
Commercial Applications of Ionic Liquids	978-3-030-35244-8	978-3-030-35245-5							http://link.springer.com/10.1007/978-3-030-35245-5	Shiflett	10.1007/978-3-030-35245-5		fulltext		Springer International Publishing	monograph	2020	2020		1	D'Silva	11661		P
Fluorination	978-981-10-3895-2	978-981-10-3896-9							http://link.springer.com/10.1007/978-981-10-3896-9	Hu	10.1007/978-981-10-3896-9		fulltext		Springer Singapore	monograph	2020	2020		1	Guo	15460		P
Fluorination		978-981-10-1855-8							http://link.springer.com/10.1007/978-981-10-1855-8	Hu	10.1007/978-981-10-1855-8		fulltext		Springer Singapore	monograph	2020	2020		0	Tang	15460		P
Aptamers in Biotechnology	978-3-030-54060-9	978-3-030-54061-6							http://link.springer.com/10.1007/978-3-030-54061-6	Urmann	10.1007/978-3-030-54061-6		fulltext		Springer International Publishing	monograph	2020	2020	174	1	Costa	10		P
Alkaliphiles in Biotechnology	978-3-030-49735-4	978-3-030-49736-1							http://link.springer.com/10.1007/978-3-030-49736-1	Mamo	10.1007/978-3-030-49736-1		fulltext		Springer International Publishing	monograph	2020	2020	172	1	Costa	10		P
Current Applications of Pharmaceutical Biotechnology	978-3-030-40463-5	978-3-030-40464-2							http://link.springer.com/10.1007/978-3-030-40464-2	Silva	10.1007/978-3-030-40464-2		fulltext		Springer International Publishing	monograph	2020	2020	171	1	Weyandt	10		P
Sustainability and Life Cycle Assessment in Industrial Biotechnology	978-3-030-47065-4	978-3-030-47066-1							http://link.springer.com/10.1007/978-3-030-47066-1	Fröhling	10.1007/978-3-030-47066-1		fulltext		Springer International Publishing	monograph	2020	2020	173	1	Costa	10		P
Catalytically Active Nucleic Acids	978-3-030-29645-2	978-3-030-29646-9							http://link.springer.com/10.1007/978-3-030-29646-9	Seitz	10.1007/978-3-030-29646-9		fulltext		Springer International Publishing	monograph	2020	2020	170	1	Weyandt	10		P
Antibiotic Resistance in the Environment	978-3-030-55064-6	978-3-030-55065-3							http://link.springer.com/10.1007/978-3-030-55065-3	Manaia	10.1007/978-3-030-55065-3		fulltext		Springer International Publishing	monograph	2020	2020	91	1	Costa	698		P
Pyrethroid Insecticides	978-3-030-55695-2	978-3-030-55696-9							http://link.springer.com/10.1007/978-3-030-55696-9	Eljarrat	10.1007/978-3-030-55696-9		fulltext		Springer International Publishing	monograph	2020	2020	92	1	Costa	698		P
