	"Bril Primary Source Collection prices 2018"				"PRICING 2018
March 2018"		
"ISSN/ISBN"	"Title"	"Product
Category"	"Subject"	"URL"	" 2018
Subscription Price (€)"	"2018 Outright Purchase Price (€)"	"2018 Annual Update Fee (€)"
"-"	"Classic Mexican Cinema Online"	"Primary Source"	"American Studies"	"brill.com/mco"	"-"	€ 7,852	"-"
"2542-4947"	"Cuban Culture and Cultural Relations, 1959- : The Vertical Archive of the Casa de las Américas, Part 1: “Casa y Cultura”"	"Primary Source"	"American Studies"	"brill.com/cuba"	"-"	€ 7,900	"-"
"2588-882X "	"Guatemala Collection: Government and Church Documents for Sacatepéquez (1587-1991), The"	"Primary Source"	"American Studies"	"brill.com/guat"	€ 875	€ 7,500	"-"
"-"	"Latin American Anarchist and Labour Periodicals Online"	"Primary Source"	"American Studies"	"brill.com/lalp"	"-"	€ 8,476	"-"
"2352-9334"	"Arkyves: Online Reference Tool for the History of Culture"	"Primary Source"	"Art History"	"brill.com/arko"	€ 1,123	"-"	"-"
"2210-7886"	"Art Sales Catalogues Online (includes access to Lugt's Répertoire Online)"	"Primary Source"	"Art History"	"brill.com/asco"	€ 6,438	€ 65,541	€ 1,186
"-"	"Historical Garden Design Online"	"Primary Source"	"Art History"	"brill.com/hgdo"	"-"	€ 10,182	"-"
"-"	"History of Modern Russian and Ukrainian Art Online"	"Primary Source"	"Art History"	"brill.com/ruao"	"-"	€ 16,463	"-"
"-"	"Richard Wagner Online"	"Primary Source"	"Art History"	"brill.com/wago"	"-"	€ 1,850	"-"
"-"	"Chinese Film and Newsreel Scripts from the Cultural Revolution Online"	"Primary Source"	"Asian Studies"	"brill.com/cfso"	"-"	€ 1,518	"-"
"2352-0426"	"Chinese Students' Monthly Online, The"	"Primary Source"	"Asian Studies"	"brill.com/csmo"	"-"	€ 3,786	"-"
"-"	"Colonial Period Korea Online"	"Primary Source"	"Asian Studies"	"brill.com/cpko"	"-"	€ 11,388	"-"
"2589-0824"	"Compilation of Chinese Medicine Periodicals Online, 1897-1952"	"Primary Source"	"Asian Studies"	"brill.com/cmpo"	€ 1,830	€ 12,820	"-"
"2214-9627"	"Japan Chronicle Online"	"Primary Source"	"Asian Studies"	"brill.com/jpco"	€ 1,570	€ 15,714	"-"
"2589-0867"	"Manchuria Daily News Online (also available as part of Mobilizing East Asia Online)"	"Primary Source"	"Asian Studies"	"brill.com/mdnc"	"-"	€ 8,000	"-"
"-"	"Mobilizing East Asia Online: Newspapers, magazines and books from the 1900s-1950s"	"Primary Source"	"Asian Studies"	"brill.com/meao"	"-"	€ 17,264	"-"
"-"	"North China Daily News Online"	"Primary Source"	"Asian Studies"	"brill.com/ncdo"	"-"	€ 15,600	"-"
"2214-8345"	"North China Herald Online, The"	"Primary Source"	"Asian Studies"	"brill.com/ncho"	"-"	€ 18,023	"-"
"2589-0883"	"North China Standard Online"	"Primary Source"	"Asian Studies"	"brill.com/ncso"	"-"	€ 2,500	"-"
"2542-5412"	"Translations of the Peking Gazette Online"	"Primary Source"	"Asian Studies"	"brill.com/tpgo"	"-"	€ 1,800	"-"
