publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type
911 and the War on Terror	9780748633807	9780748632411							http://universitypublishingonline.org/edinburgh/ebook.jsf?bid=CBO9780748632411	Holloway	CBO9780748632411		fulltext		Edinburgh University Press	Monograph	2008-05-19 00:00:00	2013-08-05 00:00:00	0	1				P
A History of Scottish Philosophy	9780748616275	9780748628643							http://universitypublishingonline.org/edinburgh/ebook.jsf?bid=CBO9780748628643	Broadie	CBO9780748628643		fulltext		Edinburgh University Press	Monograph	2008-12-15 00:00:00	2012-09-12 00:00:00	0	1				P
About Time	9780748624249	9780748630400							http://universitypublishingonline.org/edinburgh/ebook.jsf?bid=CBO9780748630400	Currie	CBO9780748630400		fulltext		Edinburgh University Press	Monograph	2006-10-20 00:00:00	2012-09-12 00:00:00	0	1				P
Academic General Practice in the UK Medical Schools, 1948-2000	9780748643561	9780748643745							http://universitypublishingonline.org/edinburgh/ebook.jsf?bid=CBO9780748643745	Howie/Whitfield	CBO9780748643745		fulltext		Edinburgh University Press	Monograph	2011-05-16 00:00:00	2013-08-05 00:00:00	0	1				P
African Filmmaking	9780748621231	9780748628063							http://universitypublishingonline.org/edinburgh/ebook.jsf?bid=CBO9780748628063	Armes	CBO9780748628063		fulltext		Edinburgh University Press	Monograph	2006-08-01 00:00:00	2014-09-05 00:00:00	0	1				P
Afromodernisms	9780748646401	9780748646418							http://universitypublishingonline.org/edinburgh/ebook.jsf?bid=CBO9780748646418	Sweeney/Marsh	CBO9780748646418		fulltext		Edinburgh University Press	Monograph	2013-02-06 00:00:00	2013-09-05 00:00:00	0	1				P
Agamben and the Politics of Human Rights	9780748645725	9780748677726							http://universitypublishingonline.org/edinburgh/ebook.jsf?bid=CBO9780748677726	Lechte/Newman	CBO9780748677726		fulltext		Edinburgh University Press	Monograph	2013-05-23 00:00:00	2013-09-05 00:00:00	0	1				P
American Documentary Film	9780748621477	9780748629466							http://universitypublishingonline.org/edinburgh/ebook.jsf?bid=CBO9780748629466	Geiger	CBO9780748629466		fulltext		Edinburgh University Press	Monograph	2011-06-29 00:00:00	2013-08-05 00:00:00	0	1				P
American History and Contemporary Hollywood Film	9780748614899	9780748680559							http://universitypublishingonline.org/edinburgh/ebook.jsf?bid=CBO9780748680559	McCrisken/Pepper	CBO9780748680559		fulltext		Edinburgh University Press	Monograph	2005-02-23 00:00:00	2013-08-05 00:00:00	0	1				P
American Independent Cinema	9780748618668	9780748627288							http://universitypublishingonline.org/edinburgh/ebook.jsf?bid=CBO9780748627288	Tzioumakis	CBO9780748627288		fulltext		Edinburgh University Press	Monograph	2006-07-27 00:00:00	2013-08-05 00:00:00	0	1				P
American Modernism's Expatriate Scene	9780748625260	9780748630875							http://universitypublishingonline.org/edinburgh/ebook.jsf?bid=CBO9780748630875	Katz	CBO9780748630875		fulltext		Edinburgh University Press	Monograph	2007-08-01 00:00:00	2012-09-12 00:00:00	0	1				P
American Postfeminist Cinema	9780748693368	9780748693375							http://universitypublishingonline.org/edinburgh/ebook.jsf?bid=CBO9780748693375	Schreiber	CBO9780748693375		fulltext		Edinburgh University Press	Monograph	2014-03-11 00:00:00	2014-09-05 00:00:00	0	1				P
American Thought and Culture in the 21st Century	9780748626014	9780748631322							http://universitypublishingonline.org/edinburgh/ebook.jsf?bid=CBO9780748631322	Halliwell/Morley	CBO9780748631322		fulltext		Edinburgh University Press	Monograph	2008-10-07 00:00:00	2013-08-05 00:00:00	0	1				P
An Alternative Internet	9780748617692	9780748676989							http://universitypublishingonline.org/edinburgh/ebook.jsf?bid=CBO9780748676989	Atton	CBO9780748676989		fulltext		Edinburgh University Press	Monograph	2004-11-19 00:00:00	2013-08-05 00:00:00	0	1				P
An Introduction to Islamic Archaeology	9780748623105	9780748629954							http://universitypublishingonline.org/edinburgh/ebook.jsf?bid=CBO9780748629954	Milwright	CBO9780748629954		fulltext		Edinburgh University Press	Monograph	2010-02-05 00:00:00	2013-08-05 00:00:00	0	1				P
Arab Christians in British Mandate Palestine	9780748676033	9780748676040							http://universitypublishingonline.org/edinburgh/ebook.jsf?bid=CBO9780748676040	Haiduc-Dale	CBO9780748676040		fulltext		Edinburgh University Press	Monograph	2013-03-18 00:00:00	2013-10-05 00:00:00	0	1				P
Arabic Sociolinguistics	9780748623730	9780748630172							http://universitypublishingonline.org/edinburgh/ebook.jsf?bid=CBO9780748630172	Bassiouney	CBO9780748630172		fulltext		Edinburgh University Press	Monograph	2009-08-27 00:00:00	2013-08-05 00:00:00	0	1				P
Arabic in the Fray	9780748637409	9780748680320							http://universitypublishingonline.org/edinburgh/ebook.jsf?bid=CBO9780748680320	Suleiman	CBO9780748680320		fulltext		Edinburgh University Press	Monograph	2013-07-22 00:00:00	2013-10-05 00:00:00	0	1				P
Associationism and the Literary Imagination	9780748609123	9780748628162							http://universitypublishingonline.org/edinburgh/ebook.jsf?bid=CBO9780748628162	Craig	CBO9780748628162		fulltext		Edinburgh University Press	Monograph	2007-06-19 00:00:00	2012-09-12 00:00:00	0	1				P
Atlantic Citizens	9780748669370	9780748669387							http://universitypublishingonline.org/edinburgh/ebook.jsf?bid=CBO9780748669387	Eckel	CBO9780748669387		fulltext		Edinburgh University Press	Monograph	2013-02-18 00:00:00	2013-09-05 00:00:00	0	1				P
Badiou and Cinema	9780748641130	9780748644483							http://universitypublishingonline.org/edinburgh/ebook.jsf?bid=CBO9780748644483	Ling	CBO9780748644483		fulltext		Edinburgh University Press	Monograph	2010-11-26 00:00:00	2012-09-12 00:00:00	0	1				P
Badiou and Plato	9780748643752	9780748643769							http://universitypublishingonline.org/edinburgh/ebook.jsf?bid=CBO9780748643769	Bartlett	CBO9780748643769		fulltext		Edinburgh University Press	Monograph	2011-06-29 00:00:00	2012-09-12 00:00:00	0	1				P
Between Desire and Pleasure	9780748645923	9780748645930							http://universitypublishingonline.org/edinburgh/ebook.jsf?bid=CBO9780748645930	Beckman	CBO9780748645930		fulltext		Edinburgh University Press	Monograph	2013-05-13 00:00:00	2013-10-05 00:00:00	0	1				P
Beyond Dogmatics	9780748627936	9780748631773							http://universitypublishingonline.org/edinburgh/ebook.jsf?bid=CBO9780748631773	Cairns/du Plessis	CBO9780748631773		fulltext		Edinburgh University Press	Monograph	2007-05-25 00:00:00	2012-09-12 00:00:00	0	1				P
Blasted Literature	9780748640676	9780748645459							http://universitypublishingonline.org/edinburgh/ebook.jsf?bid=CBO9780748645459	Ó Donghaile	CBO9780748645459		fulltext		Edinburgh University Press	Monograph	2011-02-24 00:00:00	2012-09-12 00:00:00	0	1				P
Border Politics	9780748637324	9780748640218							http://universitypublishingonline.org/edinburgh/ebook.jsf?bid=CBO9780748640218	Vaughan-Williams	CBO9780748640218		fulltext		Edinburgh University Press	Monograph	2009-05-12 00:00:00	2012-09-12 00:00:00	0	1				P
British Film Directors	9780748622306	9780748629688							http://universitypublishingonline.org/edinburgh/ebook.jsf?bid=CBO9780748629688	Shail	CBO9780748629688		fulltext		Edinburgh University Press	Monograph	2007-10-18 00:00:00	2013-08-05 00:00:00	0	1				P
Chinese Martial Arts Cinema	9780748632855	9780748632510							http://universitypublishingonline.org/edinburgh/ebook.jsf?bid=CBO9780748632510	Teo	CBO9780748632510		fulltext		Edinburgh University Press	Monograph	2009-03-31 00:00:00	2013-08-05 00:00:00	0	1				P
Cinema and Sensation	9780748620425	9780748629176							http://universitypublishingonline.org/edinburgh/ebook.jsf?bid=CBO9780748629176	Beugnet	CBO9780748629176		fulltext		Edinburgh University Press	Monograph	2007-10-18 00:00:00	2013-08-05 00:00:00	0	1				P
Circulating Genius	9780748641482	9780748643660							http://universitypublishingonline.org/edinburgh/ebook.jsf?bid=CBO9780748643660	Kaplan	CBO9780748643660		fulltext		Edinburgh University Press	Monograph	2010-10-05 00:00:00	2012-09-12 00:00:00	0	1				P
Comedy and Cultural Critique in American Film	9780748643073	9780748677801							http://universitypublishingonline.org/edinburgh/ebook.jsf?bid=CBO9780748677801	Bishop	CBO9780748677801		fulltext		Edinburgh University Press	Monograph	2013-04-22 00:00:00	2013-10-05 00:00:00	0	1				P
Coming of Age in Contemporary American Fiction	9780748621736	9780748629541							http://universitypublishingonline.org/edinburgh/ebook.jsf?bid=CBO9780748629541	Millard	CBO9780748629541		fulltext		Edinburgh University Press	Monograph	2007-04-18 00:00:00	2012-09-12 00:00:00	0	1				P
Computing and Language Variation	9780748640300	9780748641642							http://universitypublishingonline.org/edinburgh/ebook.jsf?bid=CBO9780748641642	Nerbonne et al	CBO9780748641642		fulltext		Edinburgh University Press	Monograph	2009-12-04 00:00:00	2012-09-12 00:00:00	0	1				P
Conditions of Thought	9780748676255	9780748676262							http://universitypublishingonline.org/edinburgh/ebook.jsf?bid=CBO9780748676262	Voss	CBO9780748676262		fulltext		Edinburgh University Press	Monograph	2013-05-20 00:00:00	2013-10-05 00:00:00	0	1				P
