publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type	DOI	title_image
"Domestic Tensions, National Anxieties: Global Perspectives on Marriage, Crisis, and Nation"	"9780199856732"	"9780199856756"							"http://www.vlebooks.com/vleweb/product/openreader?id=none&isbn=9780199856756&uid=none"						"Oxford University Press"											"http://www.askewsandholts.com/EBookImages/9780199856756.jpg"	
"American organic: a cultural history of farming, gardening, shopping, and eating"	"9780700621330"	"9780700621583"							"http://www.vlebooks.com/vleweb/product/openreader?id=none&isbn=9780700621583&uid=none"						"University Press of Kansas"											"http://www.askewsandholts.com/EBookImages/9780700621583.jpg"	
"Media, persuasion and propaganda"	"9780748644162"	"9780748644179"							"http://www.vlebooks.com/vleweb/product/openreader?id=none&isbn=9780748644179&uid=none"						"Edinburgh University Press"											"http://www.askewsandholts.com/EBookImages/9780748644179.jpg"	
"I've heard the mermaids singing: a queer film classic"	"9781551525648"	"9781551525655"							"http://www.vlebooks.com/vleweb/product/openreader?id=none&isbn=9781551525655&uid=none"						"Arsenal Pulp Press"											"http://www.askewsandholts.com/EBookImages/9781551525655.jpg"	
"Decolonize your diet: plant-based Mexican-American recipes for health and healing"	"9781551525921"	"9781551525938"							"http://www.vlebooks.com/vleweb/product/openreader?id=none&isbn=9781551525938&uid=none"						"Arsenal Pulp Press"											"http://www.askewsandholts.com/EBookImages/9781551525938.jpg"	
"Foucault against himself"	"9781551526027"	"9781551526034"							"http://www.vlebooks.com/vleweb/product/openreader?id=none&isbn=9781551526034&uid=none"						"Arsenal Pulp Press"											"http://www.askewsandholts.com/EBookImages/9781551526034.jpg"	
"Forbidden love: a queer film classic"	"9781551526089"	"9781551526096"							"http://www.vlebooks.com/vleweb/product/openreader?id=none&isbn=9781551526096&uid=none"						"Arsenal Pulp Press"											"http://www.askewsandholts.com/EBookImages/9781551526096.jpg"	
"C.R.A.Z.Y.: a queer film classic"	"9781551526102"	"9781551526119"							"http://www.vlebooks.com/vleweb/product/openreader?id=none&isbn=9781551526119&uid=none"						"Arsenal Pulp Press"											"http://www.askewsandholts.com/EBookImages/9781551526119.jpg"	
"This spot of ground: spiritual baptists in Toronto"	""	"9781554580859"							"http://www.vlebooks.com/vleweb/product/openreader?id=none&isbn=9781554580859&uid=none"						"Wilfrid Laurier University Press"											"http://www.askewsandholts.com/EBookImages/9781554580859.jpg"	
"Fortified cities of ancient India: a comparative study"	"9780857283313"	"9780857283412"							"http://www.vlebooks.com/vleweb/product/openreader?id=none&isbn=9780857283412&uid=none"						"Anthem Press"											"http://www.askewsandholts.com/EBookImages/9780857283412.jpg"	
"Inclusive education: policy, contexts and comparative perspectives"	"9781853466328"	"9781136624384"							"http://www.vlebooks.com/vleweb/product/openreader?id=none&isbn=9781136624384&uid=none"						"David Fulton Publishers"											"http://www.askewsandholts.com/EBookImages/9781136624384.jpg"	
"Transforming Social Work Practice: Postmodern Critical Perspectives"	"9780415216463"	"9781136849336"							"http://www.vlebooks.com/vleweb/product/openreader?id=none&isbn=9781136849336&uid=none"						"Routledge"											"http://www.askewsandholts.com/EBookImages/9781136849336.jpg"	
"Commemoration and Bloody Sunday: pathways of memory"	"9780230228887"	"9780230248670"							"http://www.vlebooks.com/vleweb/product/openreader?id=none&isbn=9780230248670&uid=none"						"Palgrave Macmillan"											"http://www.askewsandholts.com/EBookImages/9780230248670.jpg"	
"Translating Mount Fuji: modern Japanese fiction and the ethics of identity"	"9780231138925"	"9780231511155"							"http://www.vlebooks.com/vleweb/product/openreader?id=none&isbn=9780231511155&uid=none"						"Columbia University Press"											"http://www.askewsandholts.com/EBookImages/9780231511155.jpg"	
"Current issues in business ethics"	"9780415124492"	"9781134684748"							"http://www.vlebooks.com/vleweb/product/openreader?id=none&isbn=9781134684748&uid=none"						"Routledge"											"http://www.askewsandholts.com/EBookImages/9781134684748.jpg"	
"Whats Wrong With Morality?: A Social-Psychological Perspective"	"9780199355570"	"9780199355556"							"http://www.vlebooks.com/vleweb/product/openreader?id=none&isbn=9780199355556&uid=none"						"Oxford University Press"											"http://www.askewsandholts.com/EBookImages/9780199355556.jpg"	
"Resounding Afro Asia: Interracial Music and the Politics of Collaboration"	"9780199377411"	"9780199377428"							"http://www.vlebooks.com/vleweb/product/openreader?id=none&isbn=9780199377428&uid=none"						"Oxford University Press"											"http://www.askewsandholts.com/EBookImages/9780199377428.jpg"	
"Dangerous trade: arms exports, human rights, and international reputation"	"9780231170963"	"9780231539036"							"http://www.vlebooks.com/vleweb/product/openreader?id=none&isbn=9780231539036&uid=none"						"Columbia University Press"											"http://www.askewsandholts.com/EBookImages/9780231539036.jpg"	
"Practice in TESOL"	"9780748645534"	"9780748645541"							"http://www.vlebooks.com/vleweb/product/openreader?id=none&isbn=9780748645541&uid=none"						"Edinburgh University Press"											"http://www.askewsandholts.com/EBookImages/9780748645541.jpg"	
"Urban Acupuncture"	""	"9781610915847"							"http://www.vlebooks.com/vleweb/product/openreader?id=none&isbn=9781610915847&uid=none"						"Island Press"											"http://www.askewsandholts.com/EBookImages/9781610915847.jpg"	
"Unnatural Selection"	""	"9781610915007"							"http://www.vlebooks.com/vleweb/product/openreader?id=none&isbn=9781610915007&uid=none"						"Island Press"											"http://www.askewsandholts.com/EBookImages/9781610915007.jpg"	
"Intensivkurs Psychiatrie und Psychotherapie"	""	"9783437170195"							"http://www.vlebooks.com/vleweb/product/openreader?id=none&isbn=9783437170195&uid=none"						"Elsevier Health Sciences"											"http://www.askewsandholts.com/EBookImages/9783437170195.jpg"	
"Innere Medizin in Frage und Antwort: Fragen und Fallgeschichten"	""	"9783437170263"							"http://www.vlebooks.com/vleweb/product/openreader?id=none&isbn=9783437170263&uid=none"						"Elsevier Health Sciences"											"http://www.askewsandholts.com/EBookImages/9783437170263.jpg"	
"Klinikleitfaden Kardiologie"	""	"9783437170270"							"http://www.vlebooks.com/vleweb/product/openreader?id=none&isbn=9783437170270&uid=none"						"Elsevier Health Sciences"											"http://www.askewsandholts.com/EBookImages/9783437170270.jpg"	
"Handbuch Altenpflege"	""	"9783437170706"							"http://www.vlebooks.com/vleweb/product/openreader?id=none&isbn=9783437170706&uid=none"						"Elsevier Health Sciences"											"http://www.askewsandholts.com/EBookImages/9783437170706.jpg"	
"Fachpflege Neonatologische und Padiatrische Intensivpflege"	""	"9783437171222"							"http://www.vlebooks.com/vleweb/product/openreader?id=none&isbn=9783437171222&uid=none"						"Elsevier Health Sciences"											"http://www.askewsandholts.com/EBookImages/9783437171222.jpg"	
"4th Nassau Mssbauer Symposium: Proceedings of the 4th Nassau Mssbauer Symposium, held in Garden City, NY, USA, January 13-14, 2006"	"9783540711247"	"9783540711278"							"http://www.vlebooks.com/vleweb/product/openreader?id=none&isbn=9783540711278&uid=none"						"Springer"											"http://www.askewsandholts.com/EBookImages/9783540711278.jpg"	
"Health care budgeting and financial management"	"9781440833052"	"9781440833069"							"http://www.vlebooks.com/vleweb/product/openreader?id=none&isbn=9781440833069&uid=none"						"Praeger"											"http://www.askewsandholts.com/EBookImages/9781440833069.jpg"	
"Wellington's redjackets"	"9781473851757"	"9781473851788"							"http://www.vlebooks.com/vleweb/product/openreader?id=none&isbn=9781473851788&uid=none"						"Frontline"											"http://www.askewsandholts.com/EBookImages/9781473851788.jpg"	
"The entrepreneurial self"	"9781473902343"	"9781473947788"							"http://www.vlebooks.com/vleweb/product/openreader?id=none&isbn=9781473947788&uid=none"						"Sage Publications"											"http://www.askewsandholts.com/EBookImages/9781473947788.jpg"	
