publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_id	preceding_publication_title_id	access_type	supplement	title_change_history
Advances in Plant Glycosides, Chemistry and Biology, Proceedings of the International Symposium in Plant Glycosides		978-0-444-50180-6							http://www.sciencedirect.com/science/bookseries/09283420/6		9780444501806		Full text		Elsevier	Monograph	1999	2007-09-02	6		Chong-Ren Yang, Osamu Tanaka	09283420		P		
Advances in Plant Pathology		0736-4539	1988	6					http://www.sciencedirect.com/science/bookseries/07364539		07364539		Full text		Academic Press	Serial								P		
Advances in Plant Pathology		978-0-12-033711-8							http://www.sciencedirect.com/science/bookseries/07364539/11		9780120337118		Full text		Academic Press	Monograph	1995	2007-09-02	11		J.H. Andrews, I.C. Tommerup	07364539		P		
Agricultural Economics and Policy: International Challenges for the Nineties		978-0-444-88974-4							http://www.sciencedirect.com/science/bookseries/09265589/7		9780444889744		Full text		Elsevier	Monograph	1991	2012-11-05	7		KEES BURGER, MARTIJN DE GROOT, JAAP POST, VINUS ZACHARIASSE	09265589		P		
Agricultural Household Modelling and Family Economics		978-0-444-81969-7							http://www.sciencedirect.com/science/bookseries/09265589/10		9780444819697		Full text		Elsevier	Monograph	1994	2012-11-07	10		FRANCE CAILLAVET, HERVÉ GUYOMARD, ROBERT LIFRAN	09265589		P		
Agricultural Policy Formation in the European Community		978-0-444-42894-3							http://www.sciencedirect.com/science/bookseries/09265589/4		9780444428943		Full text		Elsevier	Monograph	1987	2012-11-05	4		MICHEL PETIT, MICHELE DE BENEDICTIS, DENIS BRITTON, MARTIJN DE GROOT, WILHELM HENRICHSMEYER, FRANCESCO LECHI	09265589		P		
Agriculture's Ethical Horizon		978-0-12-370511-2							http://www.sciencedirect.com/science/book/9780123705112	Robert L. Zimdahl	9780123705112		Full text		Academic Press	Monograph	2006	2007-09-02						P		
Air-Breathing Fishes		978-0-12-294860-2							http://www.sciencedirect.com/science/book/9780122948602	Jeffrey B. Graham	9780122948602		Full text		Academic Press	Monograph	1997	2007-05-09						P		
Algal Ecology		978-0-12-668450-6							http://www.sciencedirect.com/science/book/9780126684506		9780126684506		Full text		Academic Press	Monograph	1996	2007-09-02			R. Jan Stevenson, Max L. Bothwell and Rex L. Lowe			P		
Amniote Origins		978-0-12-676460-4							http://www.sciencedirect.com/science/book/9780126764604		9780126764604		Full text		Academic Press	Monograph	1997	2007-09-02			Stuart S. Sumida and Karen L.M. Martin			P		
