publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type
AI EDAM	0890-0604	1469-1760	1987-02-01	1	01				http://journals.cambridge.org/action/displayBackIssues?jid=AIE		AIE		fulltext	Hybrid Journal, see http://journals.cambridge.org/action/openAccessJournal?jid=AIE&tab=openaccess for available Open Access articles	Cambridge University Press	Serial								P	
AJS Review	0364-0094	1475-4541	1976-04-01	1					http://journals.cambridge.org/action/displayBackIssues?jid=AJS		AJS		fulltext		Cambridge University Press	Serial								P	
APSIPA Transactions on Signal and Information Processing	n/a	2048-7703	2012-12-01	1					http://journals.cambridge.org/action/displayBackIssues?jid=SIP		SIP		fulltext		Cambridge University Press	Serial								F	
ASTIN Bulletin	0515-0361	1783-1350	1958-12-01	1	01				http://journals.cambridge.org/action/displayBackIssues?jid=ASB		ASB		fulltext		Cambridge University Press	Serial								P	
Abstracts of Working Papers in Economics	0951-0079	0951-0079	1986-03-01	1	01				http://journals.cambridge.org/action/displayBackIssues?jid=PYE		PYE		fulltext		Cambridge University Press	Serial								P	
Acta Neuropsychiatrica	1601-5215	1601-5215	2002-02-01	14	01				http://journals.cambridge.org/action/displayBackIssues?jid=NEU		NEU		fulltext	Hybrid Journal, see http://journals.cambridge.org/action/openAccessJournal?jid=NEU&tab=openaccess for available Open Access articles	Cambridge University Press	Serial								P	
Acta Numerica	0962-4929	1474-0508	1992-01-01	1					http://journals.cambridge.org/action/displayBackIssues?jid=ANU		ANU		fulltext	Hybrid Journal, see http://journals.cambridge.org/action/openAccessJournal?jid=ANU&tab=openaccess for available Open Access articles	Cambridge University Press	Serial								P	
Acta geneticae medicae et gemellologiae: twin research	0001-5660		1953-01-01	2	01	1998-10-01	47	3-4	http://journals.cambridge.org/action/displayBackIssues?jid=AMG		AMG		fulltext		Cambridge University Press	Serial								P	
Advances in Animal Biosciences	2040-4700	2040-4719	2010-04-01	1	01				http://journals.cambridge.org/action/displayBackIssues?jid=ABS		ABS		fulltext	Hybrid Journal, see http://journals.cambridge.org/action/openAccessJournal?jid=ABS&tab=openaccess for available Open Access articles	Cambridge University Press	Serial								P	
Advances in Applied Mathematics and Mechanics	2070-0733	2075-1354	2011-02-01	3	01				http://journals.cambridge.org/action/displayBackIssues?jid=AAM		AAM		fulltext		Cambridge University Press	Serial								P	
