"Title"	"Author(s)"	"Editor(s)"	"Importance"	"ISBN10"	"ISBN13"	"Date of Publication"	"Publisher"	"Web Address"	"Time Period"	"CKEY"
"Handbook of life-course criminology: emerging trends and directions for future research"	"Krohn; Marvin D."		"Essential reading"		9781461451136	2012	"Springer New York"	"http://mmu.eblib.com/patron/FullRecord.aspx?p=1030297"	1516	
"The SAGE handbook of fieldwork"	"Hobbs; Dick; Wright; Richard"		"Essential reading"		9781446206966	2006	"SAGE Publications"	"http://mmu.eblib.com/patron/FullRecord.aspx?p=1046417"	1516	
"The really useful book of ICT in the early years"	"Price; Harriet"		"Essential reading"	415434181	9780415434188	2009	"Routledge"	"http://mmu.eblib.com/patron/FullRecord.aspx?p=1074909"	1516	
"Spatiality"	"Tally Jr; Robert T."		"Essential reading"		9781136181887	2012	"Taylor and Francis"	"http://mmu.eblib.com/patron/FullRecord.aspx?p=1075186"	1516	
"Temporalities"	"West-Pavlov; Russell"		"Essential reading"		9781136259944	2012	"Taylor and Francis"	"http://mmu.eblib.com/patron/FullRecord.aspx?p=1092760"	1516	
"Multilevel modeling of categorical outcomes using IBM SPSS"	"Heck; Ronald H.; Thomas; Scott; Tabata; Lynn"		"Items for purchase"		9781136672354	2013	"Taylor and Francis"	"http://mmu.eblib.com/patron/FullRecord.aspx?p=1092838"	1516	
"The intensification and reorientation of Sunni Jihad ideology in the Crusader period"	"Mourad; Suleiman; Lindsay; James"		"Essential reading"		9789004242791	2012	"BRILL"	"http://mmu.eblib.com/patron/FullRecord.aspx?p=1107996"	1516	
"Clinical nutrition"	"Elia; Marinos; Ljungqvist; Olle; Stratton; Rebecca; Lanham-New; Susan A."		"Essential reading"		9781118457740	2013	"Wiley"	"http://mmu.eblib.com/patron/FullRecord.aspx?p=1152684"	1516	
"Exploring the social impacts of events"	"Richards; Greg; de Brito; Marisa; Wilks; Linda"		"Essential reading"		9781136264504	2013	"Taylor and Francis"	"http://mmu.eblib.com/patron/FullRecord.aspx?p=1154292"	1516	
"Modern social imaginaries"	"Taylor; Charles; Gaonkar; Dilip Parameshwar; Kramer; Jane"		"Essential reading"		9780822385806	2003	"Duke University Press"	"http://mmu.eblib.com/patron/FullRecord.aspx?p=1168038"	1516	
"Differential diagnosis and treatment of children with speech disorder"	"Dodd; Barbara"		"Essential reading"		9781118713334	2013	"Wiley"	"http://mmu.eblib.com/patron/FullRecord.aspx?p=1209772"	1516	
"Reshaping retail: why technology is transforming the industry and how to win in the new consumer driven world"	"Niemeier; Stefan; Zocchi; Andrea; Catena; Marco"		"Essential reading"		9781118698884	2013	"Wiley"	"http://mmu.eblib.com/patron/FullRecord.aspx?p=1211890"	1516	
"The Routledge companion to critical and cultural theory"	"Wake; Paul Francis; Malpas; Simon"		"Items for purchase"		9781134123278	2013	"Taylor and Francis"	"http://mmu.eblib.com/patron/FullRecord.aspx?p=1221495"	1516	
"Learning through theatre: the changing face of theatre in education"	"Jackson; Anthony; Vine; Chris"		"Essential reading"		9781136300288	2013	"Taylor and Francis"	"http://mmu.eblib.com/patron/FullRecord.aspx?p=1318933"	1516	
"Power, politics and international events: socio-cultural analyses of festivals and spectacles"	"Merkel; Udo"		"Essential reading"		9781136250231	2013	"Taylor and Francis"	"http://mmu.eblib.com/patron/FullRecord.aspx?p=1323281"	1516	
"Design anthropology: theory and practice"	"Gunn; Wendy; Otto; Ton; Smith; Rachel Charlotte"		"Essential reading"		9781472518231	2013	"Bloomsbury Publishing"	"http://mmu.eblib.com/patron/FullRecord.aspx?p=1334415"	1516	
"Fashion and art"	"Geczy; Adam; Karaminas; Vicki"		"Essential reading"		9780857852137	2013	"Bloomsbury Publishing"	"http://mmu.eblib.com/patron/FullRecord.aspx?p=1335917"	1516	
"How to watch television"	"Thompson; Ethan; Mittell; Jason"		"Essential reading"		9780814729465	2013	"NYU Press"	"http://mmu.eblib.com/patron/FullRecord.aspx?p=1336355"	1516	
"Romanticism and gender"	"Mellor; Anne K."		"Essential reading"		9781136040306	2013	"Taylor and Francis"	"http://mmu.eblib.com/patron/FullRecord.aspx?p=1337504"	1516	
"The online journalism handbook: skills to survive and thrive in the digital age"	"Bradshaw; Paul; Rohumaa; Liisa"		"Essential reading"		9781317864110	2013	"Taylor and Francis"	"http://mmu.eblib.com/patron/FullRecord.aspx?p=1397483"	1516	
"Cultural geographies: an introduction"	"Horton; John; Kraftl; Peter"		"Essential reading"		9781317753681	2013	"Taylor and Francis"	"http://mmu.eblib.com/patron/FullRecord.aspx?p=1461183"	1516	
"The biology of peatlands"	"Rydin; HaÌŠkan; Jeglum; John K."		"Essential reading"		9780191508288	2013	"Oxford University Press"	"http://mmu.eblib.com/patron/FullRecord.aspx?p=1480939"	1516	
"Subediting and production for journalists: print, digital & social"	"Hicks; Wynford; Holmes; Tim"		"Items for purchase"		9781136369858	2013	"Taylor and Francis"	"http://mmu.eblib.com/patron/FullRecord.aspx?p=1486975"	1516	
"An introduction to foreign language learning and teaching"	"Johnson; Keith"		"Essential reading"		9781317865377	2013	"Taylor and Francis"	"http://mmu.eblib.com/patron/FullRecord.aspx?p=1521110"	1516	
"Hospitality and tourism: synergizing creativity and innovation in research"	"Sumarjan; Norzuwana; Mohd Salehuddin Mohd; Zahari; Salleh Mohd; Radzi; Zurinawati; Mohi; Mohd Hafiz Mohd; Hanafiah"		"Essential reading"		9781315798233	2013	"CRC Press"	"http://mmu.eblib.com/patron/FullRecord.aspx?p=1550656"	1516	
"Mollison's blood transfusion in clinical medicine"	"Klein; Harvey G.; Anstee; David J."		"Essential reading"		9781118689950	2013	"Wiley"	"http://mmu.eblib.com/patron/FullRecord.aspx?p=1564109"	1516	
"Rum Seljuqs: evolution of a dynasty"	"Mecit; Songul"		"Essential reading"		9781134508990	2013	"Taylor and Francis"	"http://mmu.eblib.com/patron/FullRecord.aspx?p=1576081"	1516	
"Yellow &amp; blue"	"Clark; Thomas A."		"Essential reading"		9781847775252	2014	"Carcanet"	"http://mmu.eblib.com/patron/FullRecord.aspx?p=1580762"	1516	
"Fashion, design and events"	"Williams; Kim; Laing; Jennifer; Frost; Warwick"		"Essential reading"		9781136238888	2013	"Taylor and Francis"	"http://mmu.eblib.com/patron/FullRecord.aspx?p=1582668"	1516	
"Digital media ethics"	"Ess; Charles"		"Essential reading"		9780745672410	2013	"Wiley"	"http://mmu.eblib.com/patron/FullRecord.aspx?p=1583672"	1516	
"Sustainable food systems: building a new paradigm"	"Marsden; Terry; Morley; Adrian"		"Essential reading"		9781136185410	2014	"Taylor and Francis"	"http://mmu.eblib.com/patron/FullRecord.aspx?p=1600473"	1516	
"Social statistics: managing data, conducting analyses, presenting results"	"Linneman; Thomas J."		"Essential reading"			2014	"Taylor and Francis"	"http://mmu.eblib.com/patron/FullRecord.aspx?p=1613742"	1516	
"Liquid metal: the Science Fiction film reader"	"Redmond; Sean"		"Items for purchase"		9780231501842	2014	"Columbia University Press"	"http://mmu.eblib.com/patron/FullRecord.aspx?p=1634864"	1516	
"Learning to teach in the primary school"	"Cremin; Teresa; Arthur; James"		"Items for purchase"		"9780415818193; 9780415818186"	2014	"Routledge"	"http://mmu.eblib.com/patron/FullRecord.aspx?p=1638640"	1516	
"The social psychology of behaviour in small groups"	"Pennington; Donald C."		"Essential reading"		9781317724612	2014	"Taylor and Francis"	"http://mmu.eblib.com/patron/FullRecord.aspx?p=1639407"	1516	
"Practical food safety: contemporary issues and future directions"	"Bhat; Rajeev; Gomez-Lopez; Vicente M."		"Essential reading"		9781118474570	2014	"Wiley"	"http://mmu.eblib.com/patron/FullRecord.aspx?p=1655929"	1516	
"The routledge handbook of hospitality management"	"Pantelidis; Ioannis S."		"Essential reading"		9781317804246	2014	"Routledge"	"http://mmu.eblib.com/patron/FullRecord.aspx?p=1659175"	1516	
"Fashion theory: an introduction"	"Barnard; Malcolm"		"Essential reading"		9781135190002	2014	"Taylor and Francis"	"http://mmu.eblib.com/patron/FullRecord.aspx?p=1659188"	1516	
