"list.name","title.identifier","title.title","title.publisher","title.primary_author","title.publication_year"
"UoY_HYMS",0071780033,"Ganong's review of medical physiology."," McGraw-Hill","Barrett, K.E. and Ganong, W.F.",2012
"UoY_HYMS",0091816653,"C: because cowards get cancer too."," Vermilion","Diamond, J.",1998
"UoY_HYMS",0099455641,"Have the men had enough?.","Vintage","Forster, M.",2004
"UoY_HYMS",0113222777,"Drug misuse and dependence: guidelines on clinical management.","The Stationery Office","Dept of Health",1999
"UoY_HYMS",0117033944,"Concepts of rehabilitation for the management of common health problems","TSO","Waddell, G.",2004
"UoY_HYMS",0120455919,"An introduction to human evolutionary anatomy.","London ; Academic Press","Aiello, L.",1990
"UoY_HYMS",0123190606,"Bones and cartilage : developmental and evolutionary skeletal biology.","Amsterdam ; Elsevier Academic Press","Hall, B.K.",2005
"UoY_HYMS",0192616749,"Why are we waiting?.","Oxford University Press","Yates, J.",1987
"UoY_HYMS",0198567391,"Oxford handbook of endocrinology and diabetes"," Oxford University Press","Wass, J.A.H.",2014
"UoY_HYMS",0199203806,"Oxford handbook of reproductive medicine and family planning"," Oxford University Press","McVeigh, E., Homburg, R., and Guillebaud, J.",2013
"UoY_HYMS",0199234078,"Oxford handbook of key clinical evidence"," Oxford University Press","Harrison, J.",2009
"UoY_HYMS",0199542554,"Clinical medicine for the MRCP PACES."," Oxford University Press","Mehta, G., Iqbal, B., and Bowman, D.",2010
"UoY_HYMS",0199591180,"Oxford handbook of clinical specialties"," Oxford University Press","Collier, J.A.B.",2013
"UoY_HYMS",0199652678,"Oxford textbook of medical education"," Oxford University Press","Walsh, K.",2013
"UoY_HYMS",0199660158,"Oxford handbook of sport and exercise medicine"," Oxford University Press","MacAuley, D.",2013
"UoY_HYMS",0199696950,"Oxford specialist handbook of community paediatrics"," Oxford University Press","Gada, S.",2012
"UoY_HYMS",0224019228,"A Philip Roth reader."," J. Cape","Roth, P.",1981
