SO Name,Wiley Online Library Full Collection 2012_2014 NESLI2,,,,,,,,,,,,,,,,,,,
SO Identifier,wiley_Full Collection_2012_2014_Nesli2,,,,,,,,,,,,,,,,,,,
Provider,Wiley,,,,,,,,,,,,,,,,,,,
Package Identifier,Full Collection,,,,,,,,,,,,,,,,,,,
Package Name,Full Collection,,,,,,,,,,,,,,,,,,,
Agreement Term Start Year,2012,,,,,,,,,,,,,,,,,,,
Agreement Term End Year,2014,,,,,,,,,,,,,,,,,,,
Consortium,NESLI2,,,,,,,,,,,,,,,,,,,
Number of Proprietary_ID columns,0,,,,,,,,,,,,,,,,,,,
Number of Platforms listed,2,,,,,,,,,,,,,,,,,,,
publication_title,print_identifier,online_identifier,date_first_issue_online,num_first_vol_online,num_first_issue_online,date_last_issue_online,num_last_vol_online,num_last_issue_online,title_id,embargo_info,coverage_depth,coverage_notes,publisher_name,DOI,platform_name,platform_role,platform_title_url,platform_name,platform_role,platform_title_url
ABACUS,0001-3072,1467-6281,1997,33,,,,,,,,,,10.1111/(ISSN)1467-6281,Wiley Online Library,host,http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1467-6281,Wiley Online Library,administrative,
ABOUT CAMPUS,1086-4822,1536-0687,1997,1,,,,,,,,,,10.1002/(ISSN)1536-0687,Wiley Online Library,host,http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1536-0687,Wiley Online Library,administrative,
ACADEMIC EMERGENCY MEDICINE,1069-6563,1553-2712,1997,2,,,,,,,,,,10.1111/(ISSN)1553-2712,Wiley Online Library,host,http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1553-2712,Wiley Online Library,administrative,
ACCOUNTING & FINANCE,0810-5391,1467-629X,1997,37,,,,,,,,,,10.1111/(ISSN)1467-629X,Wiley Online Library,host,http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1467-629X,Wiley Online Library,administrative,
ACCOUNTING PERSPECTIVES,1911-382X,1911-3838,2010,9,,,,,,,,,,10.1111/(ISSN)1911-3838,Wiley Online Library,host,http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1911-3838,Wiley Online Library,administrative,
ACTA ANAESTHESIOLOGICA SCANDINAVICA,0001-5172,1399-6576,1997,41,,,,,,,,,,10.1111/(ISSN)1399-6576,Wiley Online Library,host,http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1399-6576,Wiley Online Library,administrative,
ACTA ARCHAEOLOGICA,0065-101X,1600-0390,2000,71,,,,,,,,,,10.1111/(ISSN)1600-0390,Wiley Online Library,host,http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1600-0390,Wiley Online Library,administrative,
ACTA CRYSTALLOGRAPHICA SECTION A,0108-7673,1600-5724,1997,53,,,,,,,,,,10.1111/(ISSN)1600-5724,Wiley Online Library,host,http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1600-5724,Wiley Online Library,administrative,
ACTA CRYSTALLOGRAPHICA SECTION B,0108-7681,1600-5740,1997,53,,,,,,,,,,10.1111/(ISSN)1600-5740,Wiley Online Library,host,http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1600-5740,Wiley Online Library,administrative,
ACTA CRYSTALLOGRAPHICA SECTION C,0108-2701,1600-5759,1997,53,,,,,,,,,,10.1111/(ISSN)1600-5759,Wiley Online Library,host,http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1600-5759,Wiley Online Library,administrative,
